Reef,Year,B,P,n_transects,Degree,Region,C_ann,C_warm,mhw_days,mhw_cum,lB,lP,lB_c,C,YearF
ESPIRITU_SANTO_PAILEBOTE,2025,14278.145337947,12.081940404203,5,25,La Paz,0.682695321788571,0.70775362318839,149,85.6188,9.56648534916363,2.49171180909413,-0.0315283075107029,0.452725866429422,2025
ESPIRITU_SANTO_PARTIDA_NORESTE,1998,31998.9245035646,37.4021272167626,5,25,La Paz,0.767215869733776,0.798025362318825,118,68.0288,10.3734575719535,3.62172758025657,0.775443915279121,0.542997605559857,1998
ESPIRITU_SANTO_PARTIDA_NORESTE,1999,16513.0835231061,20.3386005212249,10,25,La Paz,-0.315606048074443,-0.168822463768132,0,0,9.71190828647152,3.01252058398706,0.113894629797189,-0.4238502205271,1999
ESPIRITU_SANTO_PARTIDA_NORESTE,2000,21768.5594044511,15.1203315598965,6,25,La Paz,-0.230298303948866,-0.115235507246392,20,7.9418,9.98822197861006,2.71604029907554,0.390208321935724,-0.37026326400536,2000
ESPIRITU_SANTO_PARTIDA_NORESTE,2002,32067.9456405802,14.9229772996949,5,25,La Paz,-0.43634577410184,-0.414583333333349,17,2.87960000000001,10.3756122320317,2.70290212578587,0.777598575357356,-0.669611090092317,2002
ESPIRITU_SANTO_PARTIDA_NORESTE,2003,23482.008811222,16.276021126439,4,25,La Paz,-0.208592349444306,-0.559365942029001,15,6.3616,10.0639898244231,2.78969292815034,0.465976167748782,-0.814393698787969,2003
ESPIRITU_SANTO_PARTIDA_NORESTE,2004,11786.0367059647,22.1227259605673,3,25,La Paz,-0.0677573203423083,0.275090579710129,0,0,9.374670779763,3.09660540416833,-0.223342876911333,0.0200628229511614,2004
ESPIRITU_SANTO_PARTIDA_NORESTE,2005,10045.2711572132,12.1286529550882,4,25,La Paz,-0.257058102868964,-0.274039855072479,17,5.16230000000001,9.2148572711319,2.49557066609591,-0.38315638554243,-0.529067611831447,2005
ESPIRITU_SANTO_PARTIDA_NORESTE,2006,13048.7260725864,8.75438813298188,3,25,La Paz,0.163462445076241,0.518623188405782,59,23.8209,9.47644578902691,2.16955507557218,-0.121567867647427,0.263595431646814,2006
ESPIRITU_SANTO_PARTIDA_NORESTE,2007,18998.7997646141,10.2044086676154,4,25,La Paz,-0.71889371930732,-1.04463768115944,0,0,9.85213108586978,2.3228198492243,0.25411742919545,-1.29966543791841,2007
ESPIRITU_SANTO_PARTIDA_NORESTE,2008,32684.0016518139,19.4702470292111,4,25,La Paz,-0.557784642746679,-0.281594202898566,11,4.97700000000001,10.3946409910435,2.9688875069878,0.79662733436918,-0.536621959657534,2008
ESPIRITU_SANTO_PARTIDA_NORESTE,2009,15814.1930650928,10.8767154505757,4,25,La Paz,0.0314350478159677,-0.0812681159420447,27,12.35,9.66866311104837,2.38662430711637,0.0706494543740348,-0.336295872701012,2009
ESPIRITU_SANTO_PARTIDA_NORESTE,2010,31822.0989897198,23.9133953208286,11,25,La Paz,-0.168510157663484,-0.729800724637697,17,7.6014,10.3679162641952,3.17443877560559,0.769902607520823,-0.984828481396665,2010
ESPIRITU_SANTO_PARTIDA_NORESTE,2011,9080.83500060957,6.58157446106086,2,25,La Paz,-0.0711676919100588,0.754764492753607,58,31.4092,9.1139214277868,1.88427399651086,-0.484092228887537,0.499736735994639,2011
ESPIRITU_SANTO_PARTIDA_NORESTE,2012,4899.36634217148,4.68729225659367,4,25,La Paz,-0.235598850396954,-0.04599637681161,24,14.398,8.49686115781225,1.54485507172108,-1.10115249886208,-0.301024133570578,2012
ESPIRITU_SANTO_PARTIDA_NORESTE,2013,6190.42136941796,6.96819181531376,8,25,La Paz,-0.37289371930732,-0.274963768115958,0,0,8.73075843596568,1.94135576720142,-0.867255220708655,-0.529991524874926,2013
ESPIRITU_SANTO_PARTIDA_NORESTE,2014,8801.79680642599,14.5781241515629,8,25,La Paz,0.964914499870762,1.39846014492752,156,110.8446,9.08271116217229,2.67952205928834,-0.515302494502047,1.14343238816855,2014
ESPIRITU_SANTO_PARTIDA_NORESTE,2015,8208.93572417392,5.64150801485115,4,25,La Paz,1.23411997932282,1.33324275362317,189,138.1761,9.01297856239605,1.73015140829041,-0.585035094278281,1.0782149968642,2015
ESPIRITU_SANTO_PARTIDA_NORESTE,2016,10011.1427067203,9.62455544505632,4,25,La Paz,0.8711771058872,0.382155797101434,176,109.6315,9.21145402230943,2.26431769158056,-0.386559634364907,0.127128040342466,2016
ESPIRITU_SANTO_PARTIDA_NORESTE,2017,10630.8418364297,10.9967734358439,8,25,La Paz,0.405818609459803,0.200634057970999,57,22.7339,9.2715146625963,2.39760190575627,-0.326498994078031,-0.0543936987879687,2017
ESPIRITU_SANTO_PARTIDA_NORESTE,2018,40831.4243528464,28.4274885462453,4,25,La Paz,0.371270664254324,0.403351449275347,50,28.6327,10.6172072686634,3.34735658360558,1.0191936119891,0.148323692516379,2018
ESPIRITU_SANTO_PARTIDA_NORESTE,2019,18250.9914785616,22.4307134326752,8,25,La Paz,0.114996691651585,-0.193931159420306,9,3.09049999999999,9.81197468512737,3.11043115510052,0.213961028453033,-0.448958916179274,2019
ESPIRITU_SANTO_PARTIDA_NORESTE,2022,22610.146161809,16.02569870017,8,25,La Paz,0.187188472473503,-0.116974637681175,46,19.3524,10.0261540297274,2.77419360249089,0.428140373053083,-0.372002394440143,2022
ESPIRITU_SANTO_PARTIDA_NORESTE,2024,16693.2190770517,25.1052324372335,8,25,La Paz,0.479209892772445,0.069166666666651,114,65.1605,9.72275787265663,3.22307628804701,0.1247442159823,-0.185861090092317,2024
